station_id,station_name,temp,latitude,longitude,avg_trip_count,day_count,coords_x,coords_y
134,Peoria St & Jackson Blvd,60.0,41.8776,-87.6496,45.66216216216216,148,-9757108.840234112,5142662.114945343
134,Peoria St & Jackson Blvd,65.0,41.8776,-87.6496,52.130434782608695,161,-9757108.840234112,5142662.114945343
134,Peoria St & Jackson Blvd,70.0,41.8776,-87.6496,53.127272727272725,220,-9757108.840234112,5142662.114945343
134,Peoria St & Jackson Blvd,75.0,41.8776,-87.6496,55.2027027027027,222,-9757108.840234112,5142662.114945343
134,Peoria St & Jackson Blvd,80.0,41.8776,-87.6496,56.84158415841584,101,-9757108.840234112,5142662.114945343
135,Halsted St & 21st St,30.0,41.8538,-87.6467,1.8571428571428572,84,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,35.0,41.8538,-87.6467,2.1487603305785123,121,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,40.0,41.8538,-87.6467,2.4434782608695653,115,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,45.0,41.8538,-87.6467,2.886178861788618,123,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,50.0,41.8538,-87.6467,3.185185185185185,135,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,55.0,41.8538,-87.6467,3.8979591836734695,98,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,60.0,41.8538,-87.6467,4.8478260869565215,138,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,65.0,41.8538,-87.6467,6.146496815286624,157,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,70.0,41.8538,-87.6467,6.696261682242991,214,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,75.0,41.8538,-87.6467,6.550925925925926,216,-9756786.01371081,5139104.488986402
135,Halsted St & 21st St,80.0,41.8538,-87.6467,6.618556701030927,97,-9756786.01371081,5139104.488986402
136,Racine Ave & 13th St,30.0,41.8651,-87.657,2.182795698924731,93,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,35.0,41.8651,-87.657,2.1964285714285716,112,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,40.0,41.8651,-87.657,2.4035087719298245,114,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,45.0,41.8651,-87.657,2.8440366972477062,109,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,50.0,41.8651,-87.657,2.7251908396946565,131,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,55.0,41.8651,-87.657,3.2282608695652173,92,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,60.0,41.8651,-87.657,3.8257575757575757,132,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,65.0,41.8651,-87.657,4.153846153846154,143,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,70.0,41.8651,-87.657,3.9603960396039604,202,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,75.0,41.8651,-87.657,4.331730769230769,208,-9757932.604465982,5140793.44879465
136,Racine Ave & 13th St,80.0,41.8651,-87.657,4.175257731958763,97,-9757932.604465982,5140793.44879465
137,Morgan Ave & 14th Pl,30.0,41.8624,-87.6511,7.529411764705882,119,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,35.0,41.8624,-87.6511,7.594936708860759,158,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,40.0,41.8624,-87.6511,8.568627450980392,153,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,45.0,41.8624,-87.6511,9.895833333333334,144,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,50.0,41.8624,-87.6511,12.020134228187919,149,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,55.0,41.8624,-87.6511,13.495238095238095,105,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,60.0,41.8624,-87.6511,14.772413793103448,145,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,65.0,41.8624,-87.6511,16.566037735849058,159,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,70.0,41.8624,-87.6511,17.022935779816514,218,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,75.0,41.8624,-87.6511,17.624434389140273,221,-9757275.819470301,5140389.864889013
137,Morgan Ave & 14th Pl,80.0,41.8624,-87.6511,16.7,100,-9757275.819470301,5140389.864889013
138,Clybourn Ave & Division St,30.0,41.9046,-87.6405,7.590551181102362,127,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,35.0,41.9046,-87.6405,8.325,160,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,40.0,41.9046,-87.6405,10.582278481012658,158,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,45.0,41.9046,-87.6405,12.275862068965518,145,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,50.0,41.9046,-87.6405,15.006711409395972,149,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,55.0,41.9046,-87.6405,17.676190476190477,105,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,60.0,41.9046,-87.6405,18.93103448275862,145,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,65.0,41.9046,-87.6405,22.19496855345912,159,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,70.0,41.9046,-87.6405,24.257009345794394,214,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,75.0,41.9046,-87.6405,24.263636363636362,220,-9756095.832867892,5146699.681645961
138,Clybourn Ave & Division St,80.0,41.9046,-87.6405,24.871287128712872,101,-9756095.832867892,5146699.681645961
140,Dearborn Pkwy & Delaware Pl,30.0,41.899,-87.6299,17.669291338582678,127,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,35.0,41.899,-87.6299,18.677018633540374,161,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,40.0,41.899,-87.6299,23.72151898734177,158,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,45.0,41.899,-87.6299,29.791666666666668,144,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,50.0,41.899,-87.6299,38.83221476510067,149,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,55.0,41.899,-87.6299,48.57142857142857,105,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,60.0,41.899,-87.6299,54.06164383561644,146,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,65.0,41.899,-87.6299,65.84905660377359,159,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,70.0,41.899,-87.6299,72.31336405529954,217,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,75.0,41.899,-87.6299,75.92760180995475,221,-9754915.846265484,5145862.12010996
140,Dearborn Pkwy & Delaware Pl,80.0,41.899,-87.6299,73.66336633663366,101,-9754915.846265484,5145862.12010996
141,Clark St & Lincoln Ave,30.0,41.9157,-87.6346,12.390243902439025,123,-9755439.047872212,5148360.0654110275
141,Clark St & Lincoln Ave,35.0,41.9157,-87.6346,15.248447204968944,161,-9755439.047872212,5148360.0654110275
141,Clark St & Lincoln Ave,40.0,41.9157,-87.6346,22.22151898734177,158,-9755439.047872212,5148360.0654110275
141,Clark St & Lincoln Ave,45.0,41.9157,-87.6346,28.862068965517242,145,-9755439.047872212,5148360.0654110275
